Subdomain,IP,Cloudflare
autodiscover.cdbaby.com,52.98.252.120,false
autodiscover.duplication.cdbaby.com,52.98.152.200,false
bem-vindo.pt.cdbaby.com,104.18.34.21,true
bienvenido.es.cdbaby.com,104.18.34.21,true
 cdn-maintenance.cdbaby.com,104.18.28.128,true
click.hello.cdbaby.com,128.245.209.78,false
cloud.hello.cdbaby.com,128.245.192.42,false
diymusician.cdbaby.com,141.193.213.10,false
diymusiciancon.cdbaby.com,141.193.213.10,false
duplication.cdbaby.com,104.18.30.217,true
ecom.cdbaby.com,104.196.229.224,false
es.cdbaby.com,104.18.28.128,true
es.members.cdbaby.com,104.18.28.128,true
es.qa-members-auto.cdbaby.com,104.18.28.128,true
es.qa-members-lab.cdbaby.com,104.18.28.128,true
es.wp-testing.cdbaby.com,104.18.28.128,true
euusoa.cdbaby.com,104.196.229.224,false
extendedservices.cdbaby.com,104.18.29.128,true
ftp.cdbaby.com,70.102.199.125,false
ftp2.cdbaby.com,172.65.247.88,true
image.hello.cdbaby.com,2.23.227.208,false
info.duplication.cdbaby.com,199.60.103.254,false
iuse.cdbaby.com,104.196.229.224,false
jp.cdbaby.com,104.18.29.128,true
jp.members.cdbaby.com,104.18.28.128,true
lancamento.cdbaby.com,141.193.213.10,false
lanzamiento.cdbaby.com,141.193.213.10,false
link.duplication.cdbaby.com,3.210.176.179,false
maintenance.cdbaby.com,104.18.29.128,true
musicodiy.cdbaby.com,104.18.29.128,true
pages.duplication.cdbaby.com,34.122.99.162,false
podcast.cdbaby.com,141.193.213.10,false
pt.cdbaby.com,104.18.29.128,true
pt.members.cdbaby.com,104.18.29.128,true
pt.qa-members-auto.cdbaby.com,104.18.28.128,true
pt.qa-members-lab.cdbaby.com,104.18.28.128,true
pt.wp-testing.cdbaby.com,104.18.28.128,true
publishing-sandbox.cdbaby.com,98.85.171.238,false
publishing.cdbaby.com,3.214.40.149,false
qa-api-auto.cdbaby.com,104.18.29.128,true
qa-api.cdbaby.com,104.18.28.128,true
qa-auth-auto.cdbaby.com,104.18.28.128,true
qa-authpool-auto.cdbaby.com,104.18.28.128,true
qa-auto.cdbaby.com,104.18.29.128,true
qa-cdb-auto.cdbaby.com,104.18.29.128,true
qa-members-auto.cdbaby.com,104.18.28.128,true
qa-reseller-auto.cdbaby.com,104.18.29.128,true
qa-store-cdb-auto.cdbaby.com,104.18.29.128,true
qa-submission-auto.cdbaby.com,104.18.28.128,true
qa.duplication.cdbaby.com,104.18.21.129,true
release.cdbaby.com,141.193.213.11,false
retail.cdbaby.com,104.18.29.128,true
somosmusica.cdbaby.com,104.18.29.128,true
support.cdbaby.com,216.198.53.6,false
support.duplication.cdbaby.com,216.198.53.6,false
vid-cdn.cdbaby.com,104.18.29.128,true
view.hello.cdbaby.com,128.245.227.175,false
welcome.cdbaby.com,104.18.34.21,true
wp-testing.cdbaby.com,104.18.28.128,true
www.cdbaby.com,104.18.28.128,true
www.diymusiciancon.cdbaby.com,141.193.213.10,false
www.extendedservices.cdbaby.com,104.18.29.128,true
www.iuse.cdbaby.com,104.196.229.224,false
www.musicodiy.cdbaby.com,104.18.29.128,true
www.podcast.cdbaby.com,141.193.213.11,false
www.somosmusica.cdbaby.com,104.18.29.128,true
www.youso.cdbaby.com,141.193.213.11,false
youso.cdbaby.com,141.193.213.11,false
