Subdomain,IP,Cloudflare
3rdredemption.revelator.com,172.67.71.163,true
7kingin.revelator.com,104.26.3.231,true
acme.revelator.com,104.26.2.231,true
amplify.revelator.com,104.26.3.231,true
andthen.revelator.com,172.67.71.163,true
anxmusic.revelator.com,104.26.3.231,true
api-docs-dev.revelator.com,104.26.3.231,true
api-docs-stage.revelator.com,104.26.2.231,true
api-docs.revelator.com,104.26.2.231,true
api.revelator.com,52.178.164.235,false
apollon.revelator.com,104.26.2.231,true
app.revelator.com,52.178.164.235,false
apprise.revelator.com,104.26.3.231,true
artists.revelator.com,172.67.71.163,true
audioember.revelator.com,52.178.164.235,false
auth.revelator.com,104.18.159.162,true
auth0-wl-poc-two.revelator.com,216.198.79.67,false
auth0-wl-poc.revelator.com,64.29.17.3,false
avidz.revelator.com,104.26.3.231,true
bankonitdistro.revelator.com,172.67.71.163,true
beatbread-premierpro.revelator.com,172.67.71.163,true
beatclap.revelator.com,172.67.71.163,true
beatroot.revelator.com,104.26.3.231,true
bettr.revelator.com,104.26.2.231,true
boomy.revelator.com,104.26.2.231,true
cdn.revelator.com,13.107.246.44,false
clandistribution.revelator.com,104.26.2.231,true
cms.revelator.com,104.26.2.231,true
contentgateway.revelator.com,104.26.3.231,true
createsafe.revelator.com,104.26.2.231,true
deanmusic.revelator.com,104.26.2.231,true
deepdisco.revelator.com,172.67.71.163,true
dev.internal.revelator.com,172.67.71.163,true
devops.internal.revelator.com,104.26.2.231,true
dibsteur.revelator.com,104.26.2.231,true
dkmuziq.revelator.com,172.67.71.163,true
dndistributions.revelator.com,104.26.2.231,true
docs.revelator.com,104.18.40.47,true
dropzik.revelator.com,172.67.71.163,true
einsmuzik.revelator.com,172.67.71.163,true
elev8.revelator.com,104.26.3.231,true
elojo.revelator.com,104.26.3.231,true
emvn.revelator.com,104.26.3.231,true
enrouterecords.revelator.com,104.26.2.231,true
es.revelator.com,104.17.201.193,true
feedback.revelator.com,44.214.112.154,false
fenix.revelator.com,104.26.3.231,true
fmb.revelator.com,104.26.2.231,true
fuchuk.revelator.com,104.26.3.231,true
gaanbaksho.revelator.com,104.26.3.231,true
gallo.revelator.com,104.26.3.231,true
gm.revelator.com,104.26.3.231,true
greenlightriot.revelator.com,104.26.3.231,true
heartbeatdigital.revelator.com,104.26.3.231,true
heartbeatmusic.revelator.com,104.26.2.231,true
help.revelator.com,104.26.2.231,true
helpdesk.revelator.com,172.66.0.145,true
hitmkr.revelator.com,104.26.2.231,true
hitpiece.revelator.com,104.26.3.231,true
hmg.revelator.com,104.26.2.231,true
hutsmedia.revelator.com,104.26.3.231,true
identity-v2-staging-test.revelator.com,63.176.8.218,false
indieflow.revelator.com,104.26.2.231,true
indiefy.revelator.com,172.67.71.163,true
integralsilence.revelator.com,104.26.3.231,true
ipfs.revelator.com,172.67.71.163,true
ja.revelator.com,104.18.40.102,true
jobs.revelator.com,207.120.37.107,false
joharecords.revelator.com,104.26.2.231,true
kamea.revelator.com,104.26.3.231,true
kickoffmusic.revelator.com,172.67.71.163,true
kingsmen.revelator.com,104.26.2.231,true
ladosismusical.revelator.com,172.67.71.163,true
lamusic.revelator.com,172.67.71.163,true
launchmedia.revelator.com,104.26.2.231,true
lavisionprod.revelator.com,104.26.2.231,true
lealtad.revelator.com,104.26.2.231,true
lemmon.revelator.com,172.67.71.163,true
loopus.revelator.com,104.26.2.231,true
m4a.revelator.com,172.67.71.163,true
magnate.revelator.com,104.26.2.231,true
marvment.revelator.com,172.67.71.163,true
matteris.revelator.com,172.67.71.163,true
merge.revelator.com,46.101.115.89,false
mqentertainment.revelator.com,172.67.71.163,true
musicinc.revelator.com,172.67.71.163,true
musicpro.revelator.com,104.26.2.231,true
musixflix.revelator.com,104.26.3.231,true
mylabel.revelator.com,104.26.3.231,true
nextfly.revelator.com,104.26.3.231,true
nft.revelator.com,35.157.26.135,false
nr-media.revelator.com,104.26.2.231,true
nuclearmusic.revelator.com,104.26.2.231,true
oceandistribution.revelator.com,172.67.71.163,true
oceanmusic.revelator.com,104.26.3.231,true
onetimesecret.revelator.com,104.26.2.231,true
pages.revelator.com,199.60.103.29,false
parabelrecords.revelator.com,104.26.3.231,true
pil.revelator.com,172.67.71.163,true
pro.revelator.com,35.157.26.135,false
pt-br.revelator.com,172.64.147.154,true
ptunestudio.revelator.com,104.26.2.231,true
puntilla.revelator.com,104.26.2.231,true
rapchat.revelator.com,172.67.71.163,true
raqemusic.revelator.com,172.67.71.163,true
redstar.revelator.com,172.67.71.163,true
sarvinarck.revelator.com,104.26.2.231,true
schrebertech.revelator.com,104.26.2.231,true
songdong.revelator.com,104.26.3.231,true
stage-nft.revelator.com,63.176.8.218,false
stage.internal.revelator.com,104.26.3.231,true
status.revelator.com,167.235.220.62,false
ten2media.revelator.com,104.26.2.231,true
tlmusicent.revelator.com,104.26.2.231,true
try.revelator.com,104.18.34.21,true
unison.revelator.com,104.26.2.231,true
wallet.revelator.com,172.67.71.163,true
waves.revelator.com,104.26.2.231,true
wea.revelator.com,104.26.2.231,true
wmerge.revelator.com,46.101.115.89,false
wmmd.revelator.com,104.26.2.231,true
www.revelator.com,66.33.60.193,false
xstream.revelator.com,172.67.71.163,true
youngtunez.revelator.com,172.67.71.163,true
yuemedia.revelator.com,104.26.2.231,true
