Subdomain,IP,Cloudflare
aaa.deezer.com,145.239.32.210,false
account.deezer.com,96.16.248.153,false
activation.deezer.com,96.16.248.164,false
affiliate.deezer.com,185.159.107.201,false
ansync.deezer.com,96.16.248.160,false
api-websub.deezer.com,96.16.248.163,false
api.deezer.com,2.16.11.67,false
auth.deezer.com,2.16.11.67,false
backstage.deezer.com,96.16.248.168,false
bo-partners.deezer.com,185.159.107.201,false
bo-playlist.deezer.com,96.16.248.166,false
connect.deezer.com,96.16.248.156,false
creators.deezer.com,5.42.197.81,false
creatorsupport.deezer.com,216.198.54.6,false
curl-prod.deezer.com,127.0.0.1,false
dalida.deezer.com,96.16.248.173,false
dataconnect.deezer.com,96.16.248.170,false
discovery.deezer.com,2.16.11.67,false
drp-auth.deezer.com,34.22.249.154,false
games-servers.deezer.com,35.205.156.155,false
games.deezer.com,2.16.11.67,false
gcast.deezer.com,96.16.248.158,false
handshake.deezer.com,2.16.11.74,false
hhe.deezer.com,96.16.248.156,false
homepod.deezer.com,34.117.141.162,false
images.deezer.com,34.117.71.21,false
inward.deezer.com,96.16.248.144,false
jobs.deezer.com,104.199.78.246,false
m.deezer.com,2.16.11.67,false
media.deezer.com,34.110.218.108,false
mydeezerstory.deezer.com,96.16.248.173,false
mydeezeryear.deezer.com,96.16.248.161,false
oauth.deezer.com,96.16.248.170,false
papi.deezer.com,96.16.248.172,false
partners.deezer.com,2.16.165.156,false
pay.deezer.com,2.16.11.67,false
payment.deezer.com,96.16.248.173,false
pipe.deezer.com,2.16.165.156,false
platform.deezer.com,96.16.248.176,false
plumbers.deezer.com,2.16.11.67,false
podcasters.deezer.com,185.159.107.201,false
preprod-preview.deezer.com,34.155.67.134,false
preprod-stream.deezer.com,34.163.95.31,false
preview.deezer.com,34.54.24.201,false
queue.deezer.com,2.16.11.74,false
research.deezer.com,185.199.108.153,false
shaker.deezer.com,2.16.11.74,false
sonos-queue-bridge.deezer.com,96.16.248.161,false
spleeterpro.deezer.com,34.8.236.198,false
stream.deezer.com,130.211.34.129,false
support.deezer.com,216.198.53.6,false
tv2.deezer.com,96.16.248.135,false
vdp.deezer.com,87.98.173.232,false
webviews.deezer.com,96.16.248.139,false
weight-images.deezer.com,92.122.166.114,false
wellbeing.deezer.com,35.190.2.236,false
widget.deezer.com,96.16.248.141,false
ws.deezer.com,185.159.107.201,false
www.deezer.com,2.16.165.156,false
zen.deezer.com,35.227.205.143,false
