Subdomain,IP,Cloudflare
account.napster.com,104.18.15.102,true
affiliate.napster.com,82.196.187.199,false
api-beta.napster.com,146.75.122.233,false
api-bigscreen.napster.com,104.18.14.102,true
api-hw.napster.com,34.160.21.144,false
api-stage.napster.com,146.75.122.233,false
api-web.napster.com,34.160.21.144,false
api.napster.com,104.18.14.102,true
app-legacy.napster.com,104.18.14.102,true
app-vivomusica.napster.com,146.75.122.233,false
app.napster.com,104.18.14.102,true
ar.napster.com,104.18.15.102,true
at.napster.com,104.18.15.102,true
audio-1-cf.dev.napster.com,104.18.6.146,true
audio-1-cf.napster.com,104.18.15.102,true
audio-1-cf.prod.napster.com,104.18.28.136,true
be.napster.com,104.18.14.102,true
bigscreen-cf.dev.napster.com,104.18.7.146,true
bigscreen-cf.prod.napster.com,104.18.28.136,true
bigscreen.dev.napster.com,104.18.6.146,true
bigscreen.prod.napster.com,104.18.29.136,true
br.napster.com,104.18.15.102,true
business.napster.com,104.18.15.102,true
ca.napster.com,104.18.14.102,true
cfcustompages.napster.com,104.18.14.102,true
cfstatictest.dev.napster.com,104.18.6.146,true
ch.napster.com,104.18.15.102,true
cl.napster.com,104.18.15.102,true
cms-tools-cf.dev.napster.com,104.18.7.146,true
cms-tools-cf.prod.napster.com,104.18.28.136,true
cms-tools.dev.napster.com,104.18.6.146,true
cms-tools.prod.napster.com,104.18.29.136,true
co.napster.com,104.18.14.102,true
collect.napster.com,199.36.158.100,false
cr.napster.com,104.18.15.102,true
de.napster.com,104.18.15.102,true
dev-encoded-audio-tracks-bucket-cdn.dev.napster.com,34.54.29.49,false
dev.napster.com,151.101.130.233,false
direct.napster.com,34.160.21.144,false
dk.napster.com,104.18.15.102,true
download.napster.com,104.18.14.102,true
ec.napster.com,104.18.14.102,true
es.napster.com,104.18.14.102,true
fi.napster.com,104.18.15.102,true
fr.napster.com,104.18.14.102,true
gb.napster.com,104.18.14.102,true
geo.napster.com,104.18.14.102,true
geo.prod.napster.com,104.18.28.136,true
gr.napster.com,104.18.14.102,true
gt.napster.com,104.18.15.102,true
help.napster.com,216.198.54.6,false
ie.napster.com,104.18.15.102,true
it-support.napster.com,104.18.15.102,true
it.napster.com,104.18.14.102,true
jira.napster.com,104.18.14.102,true
keeper.napster.com,35.212.182.119,false
lms.dev.napster.com,104.18.6.146,true
lu.napster.com,104.18.15.102,true
m.napster.com,104.18.15.102,true
media-cdn-origin2.dev.napster.com,34.36.111.111,false
mx.napster.com,104.18.15.102,true
napi-v2-2-prod-internal.prod.napster.com,104.18.29.136,true
napiv3.dev.napster.com,34.117.109.144,false
ni.napster.com,104.18.15.102,true
nintendowiiu.napster.com,104.18.15.102,true
nl.napster.com,104.18.15.102,true
no.napster.com,104.18.15.102,true
noc-support.napster.com,104.18.14.102,true
on.napster.com,67.199.248.12,false
order.napster.com,104.18.14.102,true
pa.napster.com,104.18.14.102,true
pair-cf.napster.com,104.18.14.102,true
pair.napster.com,104.18.14.102,true
payment.napster.com,130.211.45.235,false
pe.napster.com,104.18.15.102,true
play.dev.napster.com,104.18.6.146,true
play.napster.com,104.18.14.102,true
play.prod.napster.com,104.18.29.136,true
play.stg.napster.com,104.18.26.160,true
playlist-wizard-server.dev.napster.com,34.149.14.204,false
playlist-wizard-server.prod.napster.com,34.160.121.227,false
playlist-wizard.dev.napster.com,199.36.158.100,false
playlist-wizard.prod.napster.com,199.36.158.100,false
playlistgpt.napster.com,199.36.158.100,false
prod-encoded-audio-tracks-bucket-cdn.prod.napster.com,35.190.78.13,false
prod.napster.com,151.101.66.233,false
pt.napster.com,104.18.14.102,true
redirect.napster.com,104.18.14.102,true
se.napster.com,104.18.15.102,true
secure-rpiws-dev.napster.com,35.201.76.199,false
signin.napster.com,34.144.194.222,false
sonos-resurrections-dev.napster.com,142.250.184.243,false
sonos-resurrections-prod.napster.com,142.250.184.243,false
sonos-resurrections-stg.napster.com,142.250.184.243,false
static.napster.com,34.160.21.144,false
status.napster.com,136.143.190.152,false
stg.napster.com,151.101.2.233,false
store-login.napster.com,199.36.158.100,false
store.napster.com,23.227.38.74,false
stream-cf.dev.napster.com,104.18.6.146,true
sv.napster.com,104.18.15.102,true
techops-support.napster.com,104.18.10.75,true
tmo.napster.com,104.18.14.102,true
tr.napster.com,104.18.15.102,true
us.napster.com,104.18.15.102,true
uy.napster.com,104.18.14.102,true
video-cf.prod.napster.com,104.18.28.136,true
vivomusica.napster.com,104.18.14.102,true
web.dev.napster.com,104.18.7.146,true
web.napster.com,104.18.15.102,true
web.prod.napster.com,104.18.29.136,true
web.stg.napster.com,104.18.26.160,true
webplayer.dev.napster.com,104.18.7.146,true
webplayer.prod.napster.com,104.18.29.136,true
webplayer.stg.napster.com,104.18.27.160,true
www-sandbox.napster.com,104.18.14.102,true
www.napster.com,104.18.15.102,true
www.prod.napster.com,146.75.122.233,false
www2.napster.com,104.18.15.102,true
