Subdomain,IP,Cloudflare
ace.wmg.com,75.2.43.150,false
acid.dev.wmg.com,52.222.169.75,false
acid.wmg.com,18.245.175.27,false
ada-playlists.wmg.com,10.28.116.247,false
ada-sync-rights.wmg.com,10.28.116.190,false
addy.wmg.com,63.176.8.218,false
admin.admin.drm.wmg.com,208.91.197.27,false
admin.drm.wmg.com,208.91.197.27,false
adpfreedom.wmg.com,75.2.43.150,false
all-access.wmg.com,52.18.77.202,false
allaccess-staging.wmg.com,52.18.77.202,false
allaccess.wmg.com,13.248.160.137,false
allure-reports-internalapps.dev.gtapps.wmg.com,10.28.201.172,false
amp.wmg.com,18.244.28.75,false
api-pitch.wmg.com,54.87.167.234,false
api-staging.mermaidia.wmg.com,13.216.72.15,false
api.admin.drm.wmg.com,208.91.197.27,false
api.dev.liw.wmg.com,99.86.91.59,false
api.dev.videomgmt.wmg.com,10.27.26.230,false
api.echo.wmg.com,52.4.254.136,false
api.globalmatch.wmg.com,10.28.95.165,false
api.liw.wmg.com,13.249.9.115,false
api.qa.liw.wmg.com,13.227.173.25,false
api.uat.liw.wmg.com,18.245.46.109,false
api.videomgmt.wmg.com,10.27.27.238,false
applications.wmg.com,13.248.160.137,false
ar-globalconf.wmg.com,3.248.53.107,false
argocd.songradar.wmg.com,10.28.137.114,false
arrow.wmg.com,13.248.160.137,false
artistcharts.staging.wmg.com,52.5.19.100,false
artistroyalties.staging.wmg.com,52.211.55.184,false
artistroyalties.wmg.com,45.60.34.187,false
artwork-qc.wmg.com,10.28.133.242,false
atlas-list-loader.wmg.com,10.28.116.186,false
audit-trax.dev.wmg.com,141.193.213.21,false
audit-trax.uat.wmg.com,141.193.213.21,false
audit-trax.wmg.com,141.193.213.21,false
authapi.wmg.com,10.28.188.61,false
autodiscover.wmg.com,52.98.227.136,false
axis.wmg.com,3.92.90.98,false
b2bca.wmg.com,3.92.90.98,false
b2bcms.wmg.com,34.192.218.10,false
backend.songradar.wmg.com,10.28.137.159,false
bdmo-apps.wmg.com,10.28.94.33,false
bear-api.dev.edl.data.wmg.com,13.249.9.124,false
bear-api.edl.data.wmg.com,52.222.149.15,false
branding.wmg.com,54.194.41.141,false
brbkexpe.wmg.com,205.143.71.11,false
burleg.wmg.com,69.25.131.78,false
burmail.wmg.com,70.42.168.15,false
carpathia.wmg.com,13.248.160.137,false
cdcapi.wmg.com,52.21.26.9,false
cdcbe.wmg.com,34.202.203.152,false
cdcui.wmg.com,3.234.134.90,false
chart-sharing-service.staging.wmg.com,44.207.123.155,false
chat.wmg.com,75.2.43.150,false
chatwmg.wmg.com,52.222.201.61,false
cip.cdc-backend-scripts.data.wmg.com,3.90.74.213,false
cip.external-websites-public.data.wmg.com,54.158.196.131,false
cip.external-websites.data.wmg.com,54.197.219.191,false
cip.internal-websites.data.wmg.com,54.225.164.69,false
cip.warner-connect.data.wmg.com,34.202.110.203,false
click.e.wmg.com,128.17.96.250,false
click.store.wmg.com,128.17.96.250,false
clientdev.authapi.wmg.com,10.28.189.52,false
clientdev.musicapi.wmg.com,3.226.118.17,false
cms.wmg.com,34.192.218.10,false
co-op.wmg.com,18.155.129.112,false
concurce.wmg.com,18.210.63.192,false
concurnordic.wmg.com,13.248.160.137,false
concuruk.wmg.com,13.248.160.137,false
concurus.wmg.com,13.248.160.137,false
coronavirus.wmg.com,13.248.160.137,false
createawards.wmg.com,96.17.193.52,false
crm.wmg.com,96.17.193.41,false
crossorg-dev.wmg.com,52.205.231.161,false
crossorg.wmg.com,18.210.63.192,false
cyberark.wmg.com,13.248.160.137,false
datascience.wmg.com,75.2.43.150,false
dev.apollo.trustsafety.wmg.com,52.0.107.190,false
dev.authapi.wmg.com,10.28.189.51,false
dev.data.wmg.com,172.0.0.1,false
dev.mtt.wmg.com,10.28.108.204,false
dev.musicapi.wmg.com,107.20.101.50,false
dev.one.wmg.com,13.249.9.7,false
dev.rapidingest.wmg.com,10.28.255.141,false
dev.songradar.wmg.com,10.28.138.187,false
dev.techno.wmg.com,10.28.108.54,false
dev.techorg.wmg.com,10.28.108.16,false
dev.trance.wmg.com,10.28.108.226,false
dev.trustsafety.wmg.com,10.27.17.177,false
dev.videomgmt.wmg.com,18.245.218.39,false
dev.webhooks.trustsafety.wmg.com,52.0.107.190,false
dev.yto.wmg.com,10.28.108.205,false
digitaleditor.wmg.com,18.155.129.111,false
director.wmg.com,74.201.240.59,false
docs.clientdev.musicapi.wmg.com,13.227.173.38,false
docs.dev.musicapi.wmg.com,3.165.113.79,false
docs.stage.musicapi.wmg.com,143.204.194.83,false
download.drm.wmg.com,67.131.45.10,false
dscsupport.wmg.com,13.248.160.137,false
dtlaexpem.wmg.com,205.143.71.13,false
dxcentral.wmg.com,54.77.31.236,false
echo.wmg.com,44.214.103.25,false
eng-bootcamp.wmg.com,75.2.43.150,false
entity-ownership.wmg.com,44.215.186.107,false
everbridge.wmg.com,13.248.160.137,false
execcovid19.wmg.com,13.248.160.137,false
future-storybox.wmg.com,18.245.175.17,false
gcdm-api.wmg.com,52.214.48.187,false
gcdm.uat.wmg.com,10.28.76.84,false
gdo.wmg.com,54.72.117.110,false
gh-webhooks.dev.gtapps.wmg.com,10.28.201.241,false
gh-webhooks.gtapps.wmg.com,10.28.200.227,false
globalmatch.wmg.com,10.28.95.170,false
globalrecordedmusic.wmg.com,34.231.17.12,false
gps.wmg.com,34.231.17.12,false
grmoffsite2018.wmg.com,162.249.107.86,false
grmoffsite2019.wmg.com,162.249.107.86,false
guestwifi-apac.wmg.com,94.237.79.219,false
guestwifi-latam.wmg.com,209.50.63.250,false
guestwifi-uk.wmg.com,94.237.52.214,false
guestwifi-us.wmg.com,209.151.150.143,false
hamburgexpe.wmg.com,194.59.47.26,false
hamburgexpem.wmg.com,194.59.47.27,false
hamleg.wmg.com,66.155.94.29,false
hammail.wmg.com,66.155.4.14,false
hkhkgexpe.wmg.com,209.9.114.75,false
hkhkgexpem.wmg.com,209.9.114.76,false
hub.wmg.com,75.2.43.150,false
image.e.wmg.com,3.164.163.15,false
image.store.wmg.com,23.192.237.209,false
investors.wmg.com,162.159.129.11,true
ip2location-stage.wmg.com,75.2.43.150,false
ip2location.wmg.com,52.200.8.182,false
isaac.wmg.com,13.227.173.58,false
isaacportal.wmg.com,54.171.179.58,false
isaacwest.wmg.com,13.248.160.137,false
iwa.wmg.com,18.210.63.192,false
jamf-ldap.wmg.com,205.143.66.10,false
lb.staging.fan-club.wmg.com,54.234.35.90,false
ldnhyb.wmg.com,194.36.93.52,false
ldnleg.wmg.com,176.74.168.50,false
ldnmail.wmg.com,52.98.227.162,false
legato.dev.wmg.com,143.204.194.28,false
legato.qa.wmg.com,143.204.194.33,false
legato.wmg.com,52.84.90.53,false
lic.svc.drm.wmg.com,67.131.45.10,false
lisa-dev.wmg.com,13.41.71.138,false
lisa.staging.wmg.com,63.33.132.195,false
lisa.wmg.com,52.19.141.162,false
listen.wmg.com,13.248.160.137,false
live.wmg.com,54.185.31.252,false
liw.dev.wmg.com,3.165.113.110,false
liw.muat.wmg.com,52.222.201.116,false
liw.qa.wmg.com,3.166.65.54,false
liw.staging.wmg.com,18.245.175.124,false
liw.uat.wmg.com,3.162.38.24,false
liw.wmg.com,13.227.173.70,false
login.dev.one.wmg.com,13.248.244.122,false
login.staging.one.wmg.com,13.248.244.122,false
lyncav.wmg.com,74.201.240.67,false
lyncpool.wmg.com,74.201.240.61,false
lyncweb.wmg.com,74.201.240.64,false
lyrics.wmg.com,52.210.190.8,false
m.admin.drm.wmg.com,208.91.197.27,false
manage.partners.wmg.com,52.205.231.161,false
manage.partnersdev.wmg.com,18.210.63.192,false
media-service.staging.fan-club.wmg.com,54.210.173.55,false
meraki.wmg.com,13.248.160.137,false
mermaids.wmg.com,18.210.63.192,false
metabase.dev.gtapps.wmg.com,10.28.201.207,false
metabase.gtapps.wmg.com,10.28.200.55,false
migration.liw.dev.wmg.com,18.244.179.15,false
migration.liw.qa.wmg.com,18.245.175.21,false
migration.liw.staging.wmg.com,18.245.175.59,false
migration.liw.uat.wmg.com,108.138.217.26,false
migration.party-liw.dev.wmg.com,13.33.187.55,false
migration.party-liw.qa.wmg.com,3.165.136.34,false
migration.party-liw.staging.wmg.com,3.165.113.61,false
migration.party-liw.uat.wmg.com,143.204.194.32,false
migration.party-liw.wmg.com,52.84.174.34,false
mobilityportal.wmg.com,75.2.43.150,false
musicapi.wmg.com,34.231.113.169,false
mykulexpe.wmg.com,210.57.3.100,false
mykulexpem.wmg.com,210.57.3.101,false
nwjyexpe1.uc.wmg.com,205.143.65.60,false
nwjyexpe1.wmg.com,205.143.66.7,false
nwjyexpem.wmg.com,205.143.66.8,false
nychyb.wmg.com,205.143.66.15,false
nycleg.wmg.com,74.201.135.223,false
nycmail.wmg.com,74.201.240.44,false
onboarding.wmg.com,18.244.164.71,false
onboardingtoolkit.dev.wmg.com,143.204.194.47,false
one.wmg.com,3.165.113.24,false
onesource.wmg.com,13.248.160.137,false
op-scim-bridge.wmg.com,54.226.140.34,false
opusstagingext.wmg.com,13.248.160.137,false
partners.wmg.com,3.33.189.110,false
party-liw.dev.wmg.com,13.248.160.137,false
party-liw.muat.wmg.com,18.244.28.110,false
party-liw.qa.wmg.com,3.165.136.22,false
party-liw.staging.wmg.com,3.165.113.28,false
party-liw.uat.wmg.com,143.204.194.32,false
party-liw.wmg.com,18.245.162.85,false
pitch.staging.wmg.com,18.165.227.77,false
pitch.wmg.com,13.32.145.25,false
portal.art.wmg.com,52.49.225.183,false
privacy.wmg.com,96.17.193.31,false
prod.co-op.wmg.com,143.204.194.72,false
product.library.wmg.com,52.30.111.0,false
push.wmg.com,54.67.128.98,false
qa.globalmatch.wmg.com,13.227.173.51,false
rapidingest.wmg.com,10.28.254.212,false
release.library.wmg.com,52.30.111.0,false
reset.wmg.com,13.248.160.137,false
retool.new.dev.datascience.wmg.com,44.214.184.123,false
risk.cybersecurity.wmg.com,10.28.204.198,false
rstudioconnect.wmg.com,34.200.35.117,false
rstudiopm.wmg.com,98.83.9.237,false
rstudioserver.wmg.com,35.174.38.207,false
sac.wmg.com,13.248.160.137,false
sacqa.wmg.com,75.2.43.150,false
sacrev.wmg.com,75.2.43.150,false
sandbox.wmg.com,34.231.17.12,false
sapdev.wmg.com,3.229.208.178,false
sapqa.wmg.com,3.229.208.178,false
saptest.wmg.com,3.229.208.178,false
security.wmg.com,13.248.160.137,false
sentry.shared.wmg.com,3.217.27.231,false
sfcc.edl.data.wmg.com,18.209.74.244,false
sharp.wmg.com,45.60.34.187,false
sharprpts.wmg.com,107.22.251.63,false
sharpvss.wmg.com,52.200.89.174,false
sharpwgs.wmg.com,205.143.67.49,false
signaturelogos.wmg.com,3.165.113.120,false
signup.wmg.com,13.216.194.156,false
slackbot.dev.gtapps.wmg.com,34.230.153.223,false
slackbot.v2.gtapps.wmg.com,34.203.105.57,false
smetrics.wmg.com,63.140.62.172,false
songradar.wmg.com,10.28.137.159,false
sslcollector.wmg.com,205.143.65.61,false
sso.dsp.wmg.com,127.0.0.1,false
stage.authapi.wmg.com,10.28.189.10,false
stage.grmoffsite2018.wmg.com,162.249.107.86,false
stage.musicapi.wmg.com,52.207.12.222,false
staging.admin.drm.wmg.com,208.91.197.27,false
staging.one.wmg.com,52.84.174.77,false
staging.rapidingest.wmg.com,10.28.255.229,false
status.dev.globalmatch.wmg.com,10.28.93.229,false
status.globalmatch.wmg.com,10.28.95.248,false
storybox.dev.wmg.com,3.164.163.72,false
storybox.uat.wmg.com,18.155.129.47,false
storybox.wmg.com,18.245.175.20,false
supporthub.wmg.com,13.248.160.137,false
tangoebilling.wmg.com,13.248.160.137,false
tech-org.dev.gtapps.wmg.com,52.6.231.193,false
tech-org.gtapps.wmg.com,3.233.174.240,false
techno.wmg.com,10.28.116.233,false
technology.wmg.com,75.2.43.150,false
test-reports.dev.cicdtech.wmg.com,10.27.2.249,false
test.admin.drm.wmg.com,208.91.197.27,false
test.dev.cicdtech.wmg.com,1.1.1.1,false
testing-artist102.wmg.com,13.248.160.137,false
trance.wmg.com,10.28.116.138,false
transfer.wmg.com,205.143.70.14,false
transfergateway.wmg.com,205.143.70.17,false
ukldnexpe.wmg.com,194.36.93.59,false
ukldnexpem.wmg.com,194.36.93.61,false
ukonboarding.wmg.com,18.245.199.52,false
unlock.wmg.com,13.248.160.137,false
valkyrie.cybersecurity.wmg.com,10.28.204.246,false
vcinstructions.wmg.com,18.155.129.98,false
videomgmt.wmg.com,18.245.175.60,false
view.e.wmg.com,128.17.112.221,false
view.store.wmg.com,128.17.112.221,false
voip.cisco-jabber.wmg.com,194.36.93.61,false
vpn-bur.wmg.com,205.143.69.14,false
vpn-contractors.wmg.com,137.83.208.92,false
vpn-employees.wmg.com,137.83.212.23,false
vpn-ham.wmg.com,194.59.47.20,false
vpn-hkg.wmg.com,113.29.2.73,false
vpn-ldn.wmg.com,194.36.93.20,false
vpn-nyc.wmg.com,205.143.69.14,false
vpn-syd.wmg.com,202.134.244.12,false
vpn-tky.wmg.com,113.29.2.73,false
vsq.wmg.com,75.2.43.150,false
w.3.wmg.com,3.212.175.42,false
warnerdiscover.wmg.com,3.212.73.185,false
webhooks.trustsafety.wmg.com,44.195.179.183,false
wmas-main-pixel.fbcapi-gateway.data.wmg.com,54.68.198.87,false
wmgspotlight.wmg.com,107.170.196.140,false
workflow.panel.wmg.com,34.255.243.233,false
wq10.wmg.com,54.194.41.141,false
www.admin.drm.wmg.com,208.91.197.27,false
www.wmg.com,141.193.213.21,false
yes-tool.wmg.com,52.222.149.125,false
zeplin.wmg.com,75.2.43.150,false
