Subdomain,IP,Cloudflare
academy.ascap.com,18.245.46.83,false
ace-api.ascap.com,54.174.176.230,false
ace.ascap.com,52.206.2.23,false
alp.ascap.com,35.158.127.53,false
ascapone.ascap.com,34.238.173.162,false
ascaponedev.ascap.com,3.230.5.203,false
ascaponepreprod.ascap.com,54.86.1.186,false
ascaponeqa.ascap.com,54.86.184.54,false
ascaponeuat.ascap.com,54.156.43.193,false
c6002012vce001.ascap.com,38.77.204.193,false
c6002022vce002.ascap.com,38.65.65.97,false
cdn.ascap.com,52.206.2.23,false
concur.ascap.com,107.21.121.62,false
devgpterm.ascap.com,44.195.152.184,false
ea3.ascap.com,34.202.3.69,false
ea3uat.ascap.com,44.219.11.200,false
enterprise.ascap.com,107.21.121.62,false
enterprisestaging.ascap.com,52.202.34.225,false
fce-dev.ascap.com,54.172.186.144,false
fce-prd.ascap.com,54.208.106.75,false
fce-qa.ascap.com,54.205.16.210,false
fce-uat.ascap.com,52.207.28.140,false
forcepointdlp.ascap.com,54.146.132.72,false
ftp.ascap.com,54.158.217.240,false
go.ascap.com,67.199.248.12,false
heat.ascap.com,107.21.121.62,false
home.ascap.com,172.217.16.211,false
idauatapi.ascap.com,10.104.3.4,false
identity.ascap.com,34.203.130.244,false
info.ascap.com,34.237.219.119,false
licensing.ascap.com,35.158.127.51,false
licensingcustomerportal.ascap.com,35.158.127.52,false
licensinginsights.ascap.com,52.25.68.86,false
licensingqa.ascap.com,13.33.187.39,false
ma-api-uat.ascap.com,107.22.55.67,false
ma-api.ascap.com,18.235.87.6,false
ma-mobile-api-dev.ascap.com,52.5.0.227,false
ma-mobile-api.ascap.com,3.221.152.50,false
ma-pub-services-dev.ascap.com,18.205.145.54,false
ma-pub-services-qa.ascap.com,13.219.147.87,false
ma-pub-services-uat.ascap.com,52.0.226.149,false
ma-pub-services.ascap.com,52.21.197.77,false
ma-web-api.ascap.com,18.235.87.6,false
maintenance.ascap.com,52.206.2.23,false
members.ascap.com,54.205.23.234,false
nexus-bitrise.ascap.com,54.174.207.0,false
nexusiq-bitrise.ascap.com,52.205.25.111,false
ogws.ascap.com,3.224.233.245,false
ome.ascap.com,108.138.7.16,false
pardotlicensing.ascap.com,3.92.120.28,false
prdgpterm.ascap.com,107.21.121.62,false
privatewebsupportapistaging.ascap.com,52.202.34.225,false
publicwebsupportapi.ascap.com,34.203.130.244,false
publicwebsupportapistaging.ascap.com,52.202.34.225,false
qagpterm.ascap.com,44.195.152.184,false
qaogws.ascap.com,3.209.72.46,false
sge-qa.ascap.com,52.204.242.142,false
sge-uat.ascap.com,44.220.110.87,false
sge.ascap.com,52.7.61.29,false
sonar-bitrise.ascap.com,44.218.131.99,false
stage-mobile-api-dev.ascap.com,54.86.25.166,false
stagegpterm.ascap.com,44.194.247.177,false
tuneup.ascap.com,52.206.2.23,false
uatgpterm.ascap.com,35.173.167.253,false
vdi.ascap.com,34.234.53.19,false
vpn.ascap.com,3.208.47.40,false
www.ascap.com,52.206.2.23,false
