Subdomain,IP,Cloudflare
acid-mail1.soundexchange.com,65.213.219.181,false
affiliate.soundexchange.com,141.193.213.21,false
autodiscover.soundexchange.com,52.98.228.40,false
click.communications.soundexchange.com,128.17.32.179,false
image.communications.soundexchange.com,23.192.237.200,false
owa2.soundexchange.com,40.97.188.226,false
plays.soundexchange.com,52.217.118.221,false
profilemgr.soundexchange.com,199.19.69.250,false
register.soundexchange.com,3.166.65.4,false
sx-works.soundexchange.com,3.216.227.8,false
videowall.soundexchange.com,141.193.213.20,false
view.communications.soundexchange.com,128.17.48.37,false
www.soundexchange.com,141.193.213.21,false
