Subdomain,IP,Cloudflare
1010.netease.com,10.248.2.162,false
6661.qytest.netease.com,103.135.240.8,false
8f.leihuo.netease.com,35.72.126.79,false
a.nie.netease.com,127.0.0.1,false
a50-14.gdl.netease.com,104.18.48.17,true
academy.netease.com,42.186.125.37,false
acm.nie.netease.com,42.186.224.111,false
adl.netease.com,42.186.118.46,false
adm-oasis.netease.com,34.126.141.106,false
admin-api-int.s3v2dev.nie.netease.com,10.90.75.20,false
admin-api-int.s3v2dev.s3v2-pri.nie.netease.com,10.148.0.17,false
admin-kmos.netease.com,35.247.94.83,false
admin-login-titan.nie.netease.com,10.229.88.72,false
admin-test.g67.netease.com,7.25.221.175,false
admin.g67.netease.com,7.25.221.184,false
admin.l22.leihuo.netease.com,10.246.199.192,false
admin.mumu2.nie.netease.com,45.253.193.41,false
admin.nrd.netease.com,223.252.194.150,false
admin.uu.x.netease.com,42.186.69.216,false
adminquality.netease.com,59.111.243.11,false
agent.qyqa.netease.com,59.111.95.254,false
ai-h42.netease.com,42.186.110.130,false
ai.netease.com,59.111.181.41,false
aigc.netease.com,45.253.145.110,false
aigc.testing-omega.nie.netease.com,10.90.56.162,false
aircoder.mhxy.netease.com,10.148.0.117,false
airlab.netease.com,42.186.69.194,false
airtest-new.nie.netease.com,42.186.194.99,false
airtest.dev.nie.netease.com,42.186.194.84,false
airtest.netease.com,106.2.55.17,false
airwatch-it.netease.com,59.111.198.88,false
aitest-h42.netease.com,42.186.110.208,false
aladdin.nie.netease.com,42.186.122.170,false
aladdin.x.netease.com,123.58.168.106,false
aladdin2.x.netease.com,106.2.58.32,false
alifp.ps.netease.com,8.149.136.215,false
aliyun-office-monitor.leihuo.netease.com,10.246.36.245,false
allyes.nie.163.split.netease.com,123.125.48.21,false
aman-dev.netease.com,7.26.16.88,false
aman-docker-dev.netease.com,7.26.16.88,false
aman.netease.com,42.186.25.168,false
ams.x.netease.com,115.236.126.253,false
analytics-test.mpay.netease.com,42.186.241.70,false
analytics.mpay.netease.com,42.186.241.9,false
ancs.qytest.netease.com,103.135.240.8,false
ancs04.qytest.netease.com,103.135.240.8,false
api-atlasx-provider.nie.netease.com,42.186.193.225,false
api-atlasx.nie.netease.com,42.186.193.230,false
api-biding.test-matrix.nie.netease.com,45.253.100.238,false
api-codemaker.ntes53.netease.com,42.186.30.83,false
api-dev.2023dhjnh.netease.com,10.215.220.4,false
api-dev.sharing.racing.netease.com,10.215.220.4,false
api-dreammaker-public.netease.com,45.253.117.235,false
api-gaia.nie.netease.com,42.186.194.203,false
api-in.ip.netease.com,10.217.8.10,false
api-ipdb.matrix.nie.netease.com,45.253.100.238,false
api-nced.nie.netease.com,34.84.42.127,false
api-nced2.nie.netease.com,34.84.42.127,false
api-nts.test-matrix.nie.netease.com,45.253.100.238,false
api-oversea-in.db.nie.netease.com,10.13.13.15,false
api-perm.test-matrix.nie.netease.com,45.253.100.238,false
api-skyline.skyline.nie.netease.com,42.186.122.150,false
api-spare.matrix.nie.netease.com,45.253.100.238,false
api-spare.test.matrix.nie.netease.com,45.253.100.238,false
api.2023dhjnh.netease.com,45.253.117.249,false
api.cloudvpn.nie.netease.com,42.186.121.81,false
api.command.monitor.nie.netease.com,10.192.21.72,false
api.data.postman.nie.netease.com,106.2.69.156,false
api.detect.nie.netease.com,10.192.21.92,false
api.dreammaker-public.netease.com,45.253.117.235,false
api.fullmesh.nie.netease.com,10.191.100.178,false
api.g66.nie.netease.com,7.26.127.18,false
api.ip.netease.com,42.186.60.104,false
api.live-dev.racing.netease.com,10.215.220.4,false
api.live-rc.racing.netease.com,42.186.193.245,false
api.live.racing.netease.com,45.253.117.96,false
api.matrix.nie.netease.com,45.253.100.238,false
api.mumu2.nie.netease.com,45.253.193.41,false
api.mumu3.nie.netease.com,45.253.193.36,false
api.netmonitor.nie.netease.com,42.186.110.207,false
api.oas-maker.nie.netease.com,59.111.46.24,false
api.popo.netease.com,15.197.253.204,false
api.postman.nie.netease.com,10.192.14.65,false
api.profileconf.postman.nie.netease.com,10.192.14.65,false
api.security.nie.netease.com,106.2.58.38,false
api.sharing.racing.netease.com,45.253.198.8,false
api.x.netease.com,223.252.201.135,false
apidoc.nie.netease.com,59.111.46.22,false
apiproxy-h75na.netease.com,45.253.164.48,false
apisix.matrix.nie.netease.com,45.253.100.238,false
apm-otel-collector.aps.netease.com,103.74.50.205,false
apm.nie.netease.com,42.186.193.216,false
apollo.netease.com,42.186.111.143,false
app-down.x.netease.com,42.186.118.46,false
app-s3-pub.fuxi.netease.com,42.186.118.249,false
app-s3.inner.fuxi.netease.com,7.39.160.248,false
app-s3.outer.fuxi.netease.com,42.186.118.248,false
app.domainnew.cloud.netease.com,59.111.124.241,false
app.domaintest.cloud.netease.com,59.111.124.241,false
appadmin.g67.netease.com,7.25.221.184,false
appdump-web.nie.netease.com,45.253.117.67,false
appdump.nie.netease.com,34.111.242.40,false
applog.unisdk.netease.com,42.186.25.19,false
apply.proxy.netair.nie.netease.com,10.212.233.55,false
apps-ack-eu.danlu.netease.com,8.211.47.2,false
apps-ack-jp.danlu.netease.com,8.211.145.227,false
apps-ack-us.danlu.netease.com,47.90.224.64,false
apps-ali-cn.danlu.netease.com,116.62.58.64,false
apps-ali-l22-aop-test.danlu.netease.com,121.196.205.236,false
apps-ali-l22-aop.danlu.netease.com,116.62.168.153,false
apps-ali-lh10-bj.danlu.netease.com,10.4.198.224,false
apps-ali-lh10-cd.danlu.netease.com,10.4.218.36,false
apps-ali-lh10-hz.danlu.netease.com,10.4.209.46,false
apps-cae-l22.danlu.netease.com,47.99.75.11,false
apps-cae.danlu.netease.com,42.186.118.238,false
apps-edge.danlu.netease.com,42.186.118.234,false
apps-fp.danlu.netease.com,42.186.118.244,false
apps-fuxi-qa.danlu.netease.com,42.186.118.228,false
apps-gcp-tw.danlu.netease.com,35.229.141.118,false
apps-hangyan.danlu.netease.com,42.186.118.232,false
apps-hp.danlu.netease.com,42.186.118.242,false
apps-l22.danlu.netease.com,47.99.75.11,false
apps-l26-cn.danlu.netease.com,120.26.135.217,false
apps-lh10.danlu.netease.com,101.37.181.55,false
apps-lowcode-vm-dev.danlu.netease.com,42.186.147.206,false
apps-new-danlu-vm-dev.danlu.netease.com,42.186.118.229,false
apps-qa.danlu.netease.com,42.186.153.60,false
apps-robot.danlu.netease.com,42.186.118.234,false
apps-sl.danlu.netease.com,42.186.118.253,false
apps.danlu.netease.com,42.186.73.146,false
apps.leihuo.netease.com,10.1.13.25,false
aps.netease.com,127.0.0.1,false
apt.cloud.leihuo.netease.com,10.246.200.14,false
arch.netease.com,47.246.49.231,false
argocd.lowcode.cloud.netease.com,10.220.29.220,false
art.netease.com,42.186.122.229,false
art.nie.netease.com,7.25.154.10,false
artemis.aps.netease.com,220.181.96.199,false
atlas2-test.nie.netease.com,10.192.14.52,false
atx.open.netease.com,123.58.165.213,false
auth.nie.netease.com,223.252.201.135,false
auth.nievpnurs.ntes53.netease.com,10.145.25.195,false
auth.unisdk.nie.netease.com,59.111.46.101,false
autoease-devicefarm.netease.com,7.26.111.8,false
autoease-devicefarm.nie.netease.com,4.206.221.191,false
autoease-jenkins.netease.com,7.26.111.8,false
autoease-jenkins.nie.netease.com,4.206.221.191,false
autoease-test.ap.netease.com,7.239.64.136,false
autoease-us.netease.com,4.206.221.191,false
autoease.ap.netease.com,7.239.64.136,false
autoease.netease.com,7.26.111.8,false
autoease.nie.netease.com,4.206.221.191,false
avatar-easy-animation.fuxi.netease.com,10.246.194.113,false
avatar.nie.netease.com,7.25.185.195,false
ba2.gsf.netease.com,104.16.148.229,true
backend-issueease-cn.netease.com,10.215.128.116,false
backend-issueease-cname.nie.netease.com,10.227.202.99,false
backend-issueease-stage.netease.com,10.215.128.119,false
backend-issueease-us.netease.com,54.215.46.180,false
backend-issueease.netease.com,7.26.111.6,false
backend-issueease.nie.netease.com,10.227.202.99,false
backend-jos-autoease.nie.netease.com,7.239.87.134,false
backend-mapease.nie.netease.com,10.215.128.122,false
backend-test-autoease.nie.netease.com,10.215.128.118,false
backman-dev.netease.com,7.26.16.88,false
bandao.netease.com,59.111.181.163,false
bar.netease.com,42.186.192.158,false
base-nginx.unisdk.nie.netease.com,106.2.55.47,false
bbs.leihuo.netease.com,192.168.131.140,false
bdms.netease.com,59.111.181.40,false
bedrock.netease.com,10.148.39.185,false
betasystem-workflow.nie.netease.com,10.148.38.30,false
betasystem.dev.netease.com,7.26.82.68,false
bigdata2-new-k8s-gy-prod.netease.com,111.124.200.66,false
bigdata3-k8s-gy-prod.netease.com,111.124.200.66,false
blackhole.nie.netease.com,34.84.42.23,false
blizzard-notice.netease.com,42.186.118.241,false
bluebird.netease.com,59.111.148.88,false
bluefp.ps.netease.com,34.111.242.40,false
boardmix.netease.com,10.224.113.198,false
bookinfo-3102.istio.netease.com,10.212.214.187,false
bookinfo.3103.istio.netease.com,10.212.214.189,false
bookinfo.3104.istio.netease.com,10.212.214.188,false
bookinfo.istio.netease.com,10.212.214.36,false
brainmaker.netease.com,42.186.30.184,false
branchhero.netease.com,7.25.53.104,false
bsctl-server-in.db.nie.netease.com,10.204.57.141,false
bsctl-server.db.nie.netease.com,106.2.95.115,false
bsctl2-office-test.netease.com,7.25.61.5,false
bsctl2-office.api.nie.netease.com,7.25.61.5,false
bsctl2.x.netease.com,42.186.26.51,false
bu.hue.nie.netease.com,59.111.0.237,false
builder.nie.netease.com,42.186.69.156,false
buranger.hue.nie.netease.com,59.111.0.237,false
c.cotton.netease.com,47.246.50.180,false
cache.l30.leihuo.netease.com,123.60.16.253,false
cacheadmin.x.netease.com,42.186.121.20,false
care.nie.netease.com,10.248.2.162,false
cashier-ecard.matrix.netease.com,104.18.56.34,true
cc-proxy2.qytest.netease.com,111.124.202.67,false
cc.netease.com,42.186.122.58,false
ccc-apipub.leihuo.netease.com,42.186.114.251,false
ccc-monitor.leihuo.netease.com,42.186.114.251,false
ccsdk.nie.netease.com,7.26.16.88,false
cdn.evolute.netease.com,42.186.193.220,false
cdn.fuxi.netease.com,163.181.253.207,false
cdnqa.gsf.easepublish-oregon.filehub.nie.netease.com,34.174.204.88,false
cdnqa.nie.netease.com,42.186.193.25,false
cert-stage.nie.netease.com,42.186.60.248,false
cert-test.nie.netease.com,223.252.201.51,false
cert.nie.netease.com,42.186.235.70,false
cert2-int.nie.netease.com,10.192.112.150,false
cert2.nie.netease.com,106.2.58.29,false
cf-test.leihuo.netease.com,10.246.36.118,false
cfs.fin.netease.com,59.111.238.24,false
cfstest.fin.netease.com,59.111.238.24,false
checkout.unisdk.netease.com,104.18.57.44,true
ci.mhxy.netease.com,7.25.112.188,false
cldelbfortest.nie.netease.com,106.2.53.203,false
clientlog.xyq.netease.com,45.253.118.141,false
cloud-cost-api.skyline.nie.netease.com,47.77.144.55,false
cloud-dev.leihuo.netease.com,10.246.81.51,false
cloud-fee.netease.com,10.192.21.89,false
cloud-i.netease.com,223.252.219.228,false
cloud-node-new.apps-fp.danlu.netease.com,104.18.53.242,true
cloud.arch.netease.com,106.2.94.37,false
cloud.leihuo.netease.com,10.246.196.9,false
cloud.netease.com,114.113.199.251,false
cloudapp.arch.netease.com,10.246.46.73,false
cloudbeaver.test.matrix.nie.netease.com,45.253.100.238,false
clouddisk.nie.netease.com,10.145.145.51,false
clouddisk.ntes53.netease.com,10.145.145.51,false
cloudinsight.nie.netease.com,7.24.42.81,false
cloudlimit.ps.netease.com,10.90.103.83,false
cloudvpn.nie.netease.com,127.0.0.1,false
cmdb.leihuo.netease.com,10.246.149.251,false
cn-east-p1.netease.com,59.111.240.253,false
cn-hz.logcenter.l22.leihuo.netease.com,42.186.114.188,false
codemaker-webview-i18n.nie.netease.com,34.107.106.49,false
codemaker.netease.com,45.253.193.186,false
codemaker.nie.netease.com,45.253.193.186,false
codewave-api.netease.com,117.187.150.154,false
collabora.netease.com,10.246.102.23,false
colourai.netease.com,123.58.183.82,false
community-design.unisdk.nie.netease.com,59.111.46.8,false
community-g0-test.unisdk.nie.netease.com,42.186.224.43,false
community-g10-test.unisdk.nie.netease.com,106.2.58.190,false
community-preprod.unisdk.nie.netease.com,106.2.58.177,false
confluence-test.titan.nie.netease.com,10.148.1.34,false
confluence.leihuo.netease.com,10.246.149.252,false
confluence.titan.nie.netease.com,10.148.1.17,false
console-office.sym2.nie.netease.com,10.148.38.104,false
console.fcount.netease.com,42.186.241.52,false
consul.appdump.x.netease.com,10.82.223.10,false
consul.g0.x.netease.com,10.91.32.15,false
consul.push.x.netease.com,10.202.11.211,false
coqa.nie.netease.com,10.149.60.227,false
corp.netease.com,34.163.70.119,false
cotton.netease.com,45.253.193.178,false
cowork-i.netease.com,127.0.0.1,false
cowork.netease.com,127.0.0.1,false
cp-4.pfp.ps.netease.com,104.18.136.44,true
crowd.ysp.netease.com,10.148.0.36,false
crowdsource.netease.com,34.95.91.181,false
crypto.netease.com,42.186.118.242,false
ctt.leihuo.netease.com,10.1.4.28,false
d-nstool.netease.com,45.253.145.67,false
d.netease.com,10.246.101.15,false
d30.hub.leihuo.netease.com,42.186.64.114,false
d37-survey.leihuo.netease.com,122.112.210.12,false
d90-monitor-test.d90.leihuo.netease.com,10.246.203.126,false
d90-monitor.d90.leihuo.netease.com,10.246.195.161,false
da.netease.com,59.111.181.166,false
daihon.nie.netease.com,10.78.93.226,false
danlu-qa-new.fuxi.netease.com,42.186.73.8,false
danlu-qa.apps-fuxi-qa.danlu.netease.com,42.186.118.228,false
danlu-qa.fuxi.netease.com,42.186.153.97,false
danlu.fuxi.netease.com,42.186.118.241,false
danlu.netease.com,42.186.73.146,false
dashboard.monitor.nie.netease.com,42.186.60.186,false
dashboard.skyline.nie.netease.com,10.202.57.195,false
data-detect.nie.netease.com,34.111.242.40,false
data-service-testing.vega.nie.netease.com,10.217.8.31,false
data-service.vega.nie.netease.com,45.253.117.197,false
data.event.nie.netease.com,123.58.190.167,false
datahub-test.g67.netease.com,7.25.221.168,false
datahub.netease.com,42.186.249.239,false
datainsight.netease.com,10.90.113.171,false
datav.netease.com,59.111.243.68,false
dataviz.netease.com,7.26.126.16,false
db.nie.netease.com,59.111.46.100,false
dc.leihuo.netease.com,10.1.16.32,false
de.nie.netease.com,123.58.183.34,false
de.pangu.netease.com,7.25.217.43,false
demo.landing.xianzhi.netease.com,111.124.202.77,false
demo.xianzhi.netease.com,111.124.202.77,false
dep17.nie.netease.com,10.215.150.67,false
dep320.monitor-grafana.nie.netease.com,59.111.140.22,false
design.nebula.nie.netease.com,7.25.152.5,false
detect-test.nie.netease.com,10.191.225.76,false
detect.nie.netease.com,42.186.110.247,false
dev-art.nie.netease.com,7.25.154.10,false
dev-avatar-ea.fuxi.netease.com,10.246.196.66,false
dev-function.g85.netease.com,10.148.38.54,false
dev-gamecloud.nie.netease.com,42.186.121.81,false
dev-k8s.fuxi.netease.com,42.186.153.59,false
