Subdomain,IP,Cloudflare
api-priv.preproduction.qobuz.com,34.243.68.86,false
api-priv.qobuz.com,63.33.149.3,false
club.qobuz.com,104.18.39.141,true
community.qobuz.com,198.185.159.144,false
de.community.qobuz.com,104.18.40.102,true
feedback.qobuz.com,141.101.90.96,true
fr.club.qobuz.com,104.18.39.141,true
fr.community.qobuz.com,104.18.40.102,true
help.qobuz.com,172.64.150.18,true
img.weekly.qobuz.com,104.17.157.243,true
lifestyle.qobuz.com,23.227.38.74,false
on.qobuz.com,172.66.145.239,true
preprod.qobuz.com,52.30.155.187,false
r.weekly.qobuz.com,1.179.112.195,false
static-preprod.qobuz.com,54.72.140.25,false
static-www.qobuz.com,96.17.193.19,false
tk.qobuz.com,51.44.63.187,false
try.qobuz.com,104.18.34.21,true
www.community.qobuz.com,198.185.159.144,false
www.qobuz.com,2.21.243.210,false
