Subdomain,IP,Cloudflare
adanalytics.spotify.com,35.186.224.24,false
adlab.spotify.com,35.186.224.24,false
admin.adanalytics.spotify.com,34.117.157.56,false
ads.developer.spotify.com,35.186.224.24,false
ads.spotify.com,35.186.224.24,false
adshelp.spotify.com,96.16.248.176,false
adstudio-help.spotify.com,35.186.224.24,false
ap.spotify.com,104.199.65.9,false
api.adanalytics.spotify.com,34.36.191.227,false
beta.developer.spotify.com,35.186.224.24,false
canary-certificate-for-noop.spotify.com,35.186.224.24,false
canvas.spotify.com,35.186.224.24,false
clicks.artists.spotify.com,35.201.116.223,false
clicks.creators.spotify.com,34.111.104.9,false
clicks.hello.authors.spotify.com,34.8.35.28,false
clicks.podcasters.spotify.com,34.95.80.158,false
community-stage.spotify.com,3.165.136.67,false
community.spotify.com,18.245.199.112,false
confidence.spotify.com,35.186.224.24,false
connect.spotify.com,216.239.36.21,false
coverart.spotify.com,35.186.224.24,false
crashdump.spotify.com,35.186.224.24,false
creators.spotify.com,151.101.130.133,false
developer.spotify.com,35.186.224.24,false
devnews.spotify.com,35.186.224.24,false
download.spotify.com,199.232.210.250,false
dynamicworkplace4wtc.spotify.com,216.58.215.51,false
experimentation.spotify.com,10.173.6.27,false
feedback.spotify.com,23.72.248.225,false
heads-fa.spotify.com,151.101.2.248,false
heads-fab.spotify.com,151.101.2.248,false
heads-fac.spotify.com,151.101.2.248,false
help.adanalytics.spotify.com,199.60.103.2,false
hrblog.spotify.com,216.239.38.21,false
images.spotify.com,199.232.210.248,false
inapp-support.spotify.com,35.186.224.24,false
info.backstage.spotify.com,199.60.103.29,false
investors.spotify.com,162.159.130.11,true
komodo-origin.creators.spotify.com,51.21.126.187,false
l.clicks.megaphone.spotify.com,34.149.91.40,false
labs.spotify.com,35.186.224.24,false
lexikon-slack-app.spotify.com,35.186.229.127,false
mydata.spotify.com,35.190.69.110,false
news.spotify.com,35.186.224.24,false
newsroom.spotify.com,216.239.36.21,false
noteable.spotify.com,35.186.224.24,false
open.spotify.com,151.101.131.42,false
partner-links.spotify.com,199.232.210.250,false
pci-testing.spotify.com,216.239.36.21,false
pci.spotify.com,216.239.38.21,false
pixel-static-test.spotify.com,199.232.210.250,false
press.spotify.com,35.186.224.24,false
production-origin.creators.spotify.com,15.161.34.42,false
promo.spotify.com,199.232.210.250,false
recsys-challenge.spotify.com,35.186.224.24,false
repository.spotify.com,199.232.210.250,false
slackin.spotify.com,35.186.224.24,false
sparta-api-testing.spotify.com,35.186.224.24,false
sparta-api.spotify.com,35.186.224.24,false
staging-origin.creators.spotify.com,35.152.117.67,false
status.adanalytics.spotify.com,3.165.113.92,false
tableau-slack-app.spotify.com,34.96.72.33,false
tags.spotify.com,216.239.38.21,false
testcdn.spotify.com,199.232.210.248,false
testing-open.spotify.com,151.101.3.42,false
upgrade.spotify.com,199.232.210.250,false
wg.spotify.com,35.186.224.24,false
wl.spotify.com,52.11.118.109,false
www.adanalytics.spotify.com,35.190.89.148,false
www.ads.spotify.com,35.186.224.24,false
www.canvas.spotify.com,35.186.224.24,false
www.connect.spotify.com,142.250.201.179,false
www.hrblog.spotify.com,142.250.201.179,false
www.newsroom.spotify.com,142.250.179.83,false
www.noteable.spotify.com,35.186.224.24,false
yearinmusic.spotify.com,35.186.224.24,false
yourfeedback.spotify.com,96.16.248.176,false
