Subdomain,IP,Cloudflare
admin-pitch.sonymusic.com,54.214.143.181,false
api-pitch.sonymusic.com,52.10.20.171,false
approva-dev-reporting.sonymusic.com,162.49.251.78,false
approva-dev.sonymusic.com,162.49.251.69,false
approva-reporting.sonymusic.com,162.49.251.14,false
approva.sonymusic.com,162.49.251.9,false
artistsforward.sonymusic.com,104.18.36.149,true
artisttools.sonymusic.com,172.64.151.107,true
auth-console.sonymusic.com,18.233.191.168,false
autodiscover.sonymusic.com,52.98.243.40,false
citrix.sonymusic.com,162.49.192.12,false
cmb.sonymusic.com,162.49.169.124,false
connect-rpa.sonymusic.com,10.11.160.180,false
connect-tsme.sonymusic.com,91.105.245.2,false
console-rmb.sonymusic.com,13.223.114.110,false
crashplan.sonymusic.com,23.29.98.201,false
ctxme.sonymusic.com,162.49.192.10,false
deubervlewy111.sonymusic.com,217.70.128.35,false
dev-auth-console.sonymusic.com,10.12.228.107,false
fan-preferences.sonymusic.com,104.18.36.149,true
fansifter.sonymusic.com,18.66.147.67,false
filtr.sonymusic.com,104.18.36.149,true
freshservice.sonymusic.com,162.159.140.147,true
globalfintechraffle.sonymusic.com,104.18.36.149,true
gmm.sonymusic.com,172.64.151.107,true
gp.sonymusic.com,12.170.130.196,false
gpau.sonymusic.com,125.7.21.170,false
gpau2.sonymusic.com,49.255.196.150,false
gpeu.sonymusic.com,195.122.185.184,false
gphk.sonymusic.com,203.184.139.154,false
gpna.sonymusic.com,4.4.95.3,false
gpny.sonymusic.com,4.15.150.138,false
gppoc.sonymusic.com,4.15.150.68,false
gpuk.sonymusic.com,83.244.137.164,false
gtlnmipgp001.sonymusic.com,162.49.167.22,false
gtlnmipgp002.sonymusic.com,162.49.167.23,false
insights.sonymusic.com,18.245.31.112,false
irc-dev-reporting.sonymusic.com,162.49.251.83,false
irc-dev.sonymusic.com,162.49.251.71,false
irc-reporting.sonymusic.com,162.49.251.3,false
irc.sonymusic.com,162.49.251.2,false
jss.sonymusic.com,52.13.26.18,false
keys.sonymusic.com,84.17.172.148,false
legacy.sonymusic.com,84.17.180.237,false
mediatemplates.sonymusic.com,104.18.36.149,true
meetings-muc.sonymusic.com,80.190.148.55,false
mi.sonymusic.com,18.66.102.89,false
mywellbeing.sonymusic.com,104.18.36.149,true
o365de.sonymusic.com,84.17.180.239,false
o365legacy.sonymusic.com,23.29.98.202,false
o365us.sonymusic.com,23.29.98.202,false
oa.sonymusic.com,84.17.172.149,false
open-insights.sonymusic.com,199.36.158.100,false
owa.sonymusic.com,84.17.172.135,false
pgp.sonymusic.com,84.17.172.148,false
pitch.sonymusic.com,44.227.181.90,false
prod-approva.useraccess.sonymusic.com,162.49.169.251,false
release.sonymusic.com,35.170.236.180,false
secureaccess.sonymusic.com,104.18.36.149,true
seg.sonymusic.com,84.17.180.234,false
selfserve-admin-rpa.sonymusic.com,10.11.160.180,false
selfserve-rpa.sonymusic.com,10.11.160.180,false
services.sonymusic.com,84.17.172.136,false
stagetoa.sonymusic.com,10.11.183.182,false
supplier.sonymusic.com,172.64.151.107,true
toa.sonymusic.com,10.11.116.153,false
uat-auth-console.sonymusic.com,3.221.104.108,false
vinyl.sonymusic.com,23.227.38.74,false
webmail.sonymusic.com,23.29.98.203,false
www.saplogin-citrix.sonymusic.com,162.49.168.12,false
www.secureaccess.sonymusic.com,172.64.151.107,true
www.sonymusic.com,104.18.36.149,true
