Subdomain,IP,Cloudflare
3pty-vpn.umusic.com,167.167.108.54,false
accounthelp.umusic.com,45.60.14.15,false
admin-service.umusic.com,45.60.33.79,false
admin.mira.umusic.com,107.154.79.174,false
alerting.api.ari.umusic.com,45.60.33.79,false
alerting.ari.umusic.com,45.60.33.79,false
alpha.umusic.com,45.60.33.79,false
amer-ssl02.umusic.com,167.167.34.10,false
api-dev.data.umusic.com,45.60.33.79,false
api-dev.discovar.umusic.com,142.250.186.51,false
api-dev.scout.umusic.com,45.60.14.15,false
api-umd-dev.umusic.com,45.60.33.79,false
api-umd-qa.umusic.com,45.60.33.79,false
api-umd-uat.umusic.com,45.60.33.79,false
api-umd.umusic.com,45.60.33.79,false
api.artisthub.umusic.com,45.60.33.79,false
api.atlas.umusic.com,45.60.33.79,false
api.data.umusic.com,45.60.33.79,false
api.discovar.umusic.com,142.250.186.51,false
api.genai.ari.umusic.com,45.60.33.79,false
api.halo.umusic.com,45.60.33.79,false
api.hoctalentmgmt.umusic.com,45.60.33.79,false
api.mdm-dev.umusic.com,45.60.33.79,false
api.mdm-uat.umusic.com,45.60.33.79,false
api.mdm.umusic.com,45.60.33.79,false
api.mira.umusic.com,45.60.33.79,false
api.opp-scanner.ari.umusic.com,45.60.33.79,false
api.payportal.umusic.com,10.106.80.123,false
api.scout.umusic.com,45.60.14.15,false
api.sds.umusic.com,10.106.80.123,false
api.umusic.com,45.60.14.15,false
apps-stage.umusic.com,149.126.77.70,false
apps.umusic.com,149.126.77.228,false
ari-genai.halo.umusic.com,45.60.33.79,false
artisthub.umusic.com,45.60.33.79,false
artists-dev.umusic.com,45.60.33.79,false
artists-qa.umusic.com,45.60.33.79,false
artists-uat.umusic.com,45.60.33.79,false
artists.umusic.com,45.60.14.15,false
asf-api.umusic.com,99.84.149.27,false
asf-cache.umusic.com,143.204.98.68,false
aspen-aspera.umusic.com,216.34.196.154,false
aspen-aws-aspera-test.umusic.com,54.88.170.76,false
aspen-aws-aspera.umusic.com,52.204.233.45,false
aspen-aws-prod.umusic.com,45.60.123.168,false
aspen-aws-uat.umusic.com,45.60.33.79,false
aspen-dev.umusic.com,10.16.35.47,false
aspen-stg.umusic.com,10.16.35.40,false
aspen-uat.umusic.com,45.60.33.79,false
aspenstream.umusic.com,64.70.45.19,false
aspentest.umusic.com,45.60.153.218,false
assets.central.umusic.com,18.173.205.29,false
assets.central2.umusic.com,18.173.205.29,false
assets.centraluat.umusic.com,13.32.99.81,false
assets.mira.umusic.com,45.60.33.79,false
atlas-dev.data.umusic.com,45.60.33.79,false
atlas.data.umusic.com,45.60.33.79,false
atlas.umusic.com,45.60.33.79,false
audition-v2.umusic.com,45.60.33.79,false
audition.umusic.com,107.154.80.174,false
ausdn-staff-vpn.umusic.com,167.167.248.20,false
auth.non-prod.x.umusic.com,45.60.33.79,false
auth.umusic.com,3.160.150.5,false
auth2.umusic.com,13.32.121.116,false
auth3.umusic.com,18.244.18.92,false
authb.umusic.com,18.66.112.83,false
authbsbx.umusic.com,99.84.152.44,false
authbuat.umusic.com,18.245.60.6,false
authcsbx.umusic.com,108.138.7.13,false
authcuat.umusic.com,3.167.227.23,false
authdev.umusic.com,13.226.244.106,false
