Subdomain,IP,Cloudflare
applications.bmi.com,68.71.107.13,false
applications.test.bmi.com,72.237.167.105,false
apps.bmi.com,128.136.47.145,false
appsdev.bmi.com,68.71.107.19,false
appstest.bmi.com,128.136.47.144,false
auth.bmi.com,13.107.253.45,false
auth.ols.bmi.com,104.18.43.182,true
autodiscover.bmi.com,68.71.107.197,false
awards.bmi.com,51.8.5.57,false
bmireports.bmi.com,68.71.107.247,false
careers.bmi.com,3.167.227.80,false
dev.auth.ols.bmi.com,104.18.43.182,true
dev.crmcs.bmi.com,4.246.239.85,false
dev.ols.bmi.com,20.246.237.15,false
dev.owr.bmi.com,172.171.178.182,false
docs.bmi.com,13.107.253.45,false
document.bmi.com,68.71.107.8,false
emr.bmi.com,68.71.107.241,false
feeds.bmi.com,142.250.185.115,false
fi.bmi.com,20.49.104.44,false
fiuat.bmi.com,20.49.104.35,false
gallery.bmi.com,40.121.32.232,false
go.bmi.com,67.199.248.12,false
join.bmi.com,68.71.107.8,false
join.test.bmi.com,66.18.111.35,false
lists.bmi.com,54.183.0.47,false
login.bmi.com,8.47.38.15,false
nacorpvpn.bmi.com,68.71.107.194,false
naextsbc.bmi.com,8.47.38.18,false
ols.bmi.com,4.255.57.53,false
owr.bmi.com,172.171.181.202,false
pac.bmi.com,20.49.104.8,false
portal.bmi.com,68.71.107.18,false
prod.crmcs.bmi.com,74.179.205.228,false
prod.gallery.bmi.com,40.121.32.232,false
qa.auth.ols.bmi.com,104.18.43.182,true
qa.crmcs.bmi.com,74.179.243.5,false
qa.ols.bmi.com,4.157.46.127,false
qa.owr.bmi.com,172.171.181.53,false
qa2.auth.ols.bmi.com,172.64.144.74,true
ra.bmi.com,68.71.107.100,false
ra1.bmi.com,4.16.187.113,false
ra2.bmi.com,64.35.40.121,false
ra3.bmi.com,68.71.107.105,false
ra4.bmi.com,13.68.225.125,false
radioselect.bmi.com,68.71.107.233,false
repertoire.bmi.com,20.185.78.138,false
repertoire.test.bmi.com,72.237.167.82,false
rocs.bmi.com,135.237.27.155,false
rocs.test.bmi.com,66.18.111.57,false
sdc.bmi.com,68.71.107.181,false
services.bmi.com,68.71.107.198,false
services.int.bmi.com,68.71.107.14,false
services.test.bmi.com,68.71.107.196,false
sessionipi.bmi.com,68.71.107.203,false
sessionipi.test.bmi.com,68.71.107.202,false
setlists.bmi.com,68.71.107.135,false
showcase.bmi.com,68.71.107.83,false
smtp.bmi.com,68.71.107.197,false
sso.bmi.com,68.71.107.110,false
support.bmi.com,68.71.107.87,false
taxapi.bmi.com,135.234.249.74,false
test.bmi.com,66.18.111.44,false
test.docs.bmi.com,13.107.253.45,false
uat.auth.bmi.com,13.107.253.45,false
uat.auth.ols.bmi.com,104.18.43.182,true
uat.bmi.com,172.210.124.251,false
uat.crmcs.bmi.com,74.179.204.123,false
uat.ols.bmi.com,4.236.232.30,false
uat.owr.bmi.com,172.171.178.37,false
uat2.auth.ols.bmi.com,172.64.144.74,true
uat2.ols.bmi.com,4.156.75.93,false
webmail.bmi.com,68.71.107.197,false
wpauat.bmi.com,40.85.190.10,false
www.bmi.com,51.8.5.57,false
www.test.bmi.com,66.18.111.44,false
