Subdomain,IP,Cloudflare
360.audiblemagic.com,104.18.7.4,true
api.audiblemagic.com,104.18.7.4,true
auth.audiblemagic.com,23.21.118.39,false
catalogdownload.audiblemagic.com,44.211.100.14,false
cms.audiblemagic.com,104.18.6.4,true
contentregistration.audiblemagic.com,3.218.40.155,false
encore-api.audiblemagic.com,104.18.7.4,true
fun-cms.audiblemagic.com,104.18.7.4,true
fun-optin.audiblemagic.com,104.18.7.4,true
fun2-cms.audiblemagic.com,104.18.7.4,true
helpdesk.audiblemagic.com,199.60.103.228,false
int-cms.audiblemagic.com,3.91.141.133,false
int-gem.audiblemagic.com,104.18.6.4,true
int-optin.audiblemagic.com,104.18.7.4,true
int-zelda.audiblemagic.com,104.18.7.4,true
media.audiblemagic.com,34.201.206.59,false
perf-cms.audiblemagic.com,104.18.6.4,true
perf-optin.audiblemagic.com,104.18.7.4,true
portal.audiblemagic.com,104.18.6.4,true
socialcheck.audiblemagic.com,52.73.234.7,false
support.audiblemagic.com,199.60.103.28,false
uslvvpn.audiblemagic.com,216.150.216.6,false
vpnpoc-hf73gs.audiblemagic.com,50.203.182.9,false
www.audiblemagic.com,104.18.7.4,true
zelda.audiblemagic.com,104.18.7.4,true
