Subdomain,IP,Cloudflare
acr-coverage.gracenote.com,209.10.42.101,false
advanceddiscovery.gracenote.com,13.249.9.103,false
advanceddiscovery.video.gracenote.com,52.84.90.66,false
advanceddiscoverysuite.gracenote.com,18.245.143.64,false
advdisco-ngravr-elb.gnad-np.cloud.gracenote.com,10.208.36.61,false
advdisco-ngravr-elb.gnad-p.cloud.gracenote.com,10.208.160.9,false
advdisco-ngravr.gnad-np.cloud.gracenote.com,10.208.36.113,false
advdisco-vd-elb.gnad-np.cloud.gracenote.com,10.208.36.156,false
advdisco-vd-elb.gnad-p.cloud.gracenote.com,10.208.160.148,false
alertmanager.map-main.spmap-np.cloud.gracenote.com,10.216.48.193,false
alertmanager.platform.nslc-p.cloud.gracenote.com,10.216.102.154,false
amt.gracenote.com,10.208.228.197,false
amt.preprod.gracenote.com,10.208.228.201,false
amt.prod.gapzap-p.cloud.gracenote.com,10.208.228.186,false
amzf.gvdnavigator.gracenote.com,54.218.134.181,false
api-test.gmd.music.gracenote.com,52.26.12.96,false
api.gmd.music.gracenote.com,52.34.92.223,false
api.music.gracenote.com,44.236.167.3,false
api.nexus.auto-np.cloud.gracenote.com,10.197.56.120,false
api.nexus.gracenote.com,52.11.168.44,false
api.rsid-stage.music.gracenote.com,34.213.72.233,false
api.rsid.music.gracenote.com,44.224.206.133,false
api.sports.gracenote.com,18.164.52.64,false
argo-workflows.platform.nslc-p.cloud.gracenote.com,10.216.102.48,false
as.gracenote.com,209.10.42.89,false
auswebvpn.gracenote.com,175.45.118.158,false
autodiscover.gracenote.com,209.10.42.89,false
av-videos.show-np.cloud.gracenote.com,216.137.44.55,false
bluegateway-dev.show-np.cloud.gracenote.com,18.165.242.19,false
bluegateway.gracenote.com,18.245.199.86,false
bomwebvpn.gracenote.com,14.142.125.100,false
builds.nexus.auto-np.cloud.gracenote.com,18.245.175.87,false
builds.nexus.gracenote.com,216.137.44.91,false
catnav.gracenote.com,10.208.230.20,false
cdn-spiderman.video.gracenote.com,13.227.173.31,false
content-prioritization.gnvc-np.cloud.gracenote.com,10.204.27.40,false
contentmanager.gracenote.com,209.194.199.95,false
decisioning.gracenote.com,96.46.150.42,false
dev-content-prioritization.gnvc-np.cloud.gracenote.com,10.204.27.40,false
dev-ede-idp.gntao-p.cloud.gracenote.com,10.204.27.45,false
developer.gracenote.com,204.74.99.100,false
devgnmcp.gvsh-np.cloud.gracenote.com,13.32.145.51,false
discovery-api.gracenote.com,52.43.117.74,false
docs.gracenote.com,54.174.150.34,false
documentation.gracenote.com,18.165.201.48,false
ede-idp.gntao-p.cloud.gracenote.com,10.204.27.45,false
emyvpn.gracenote.com,209.36.4.100,false
entitlement-stg.gracenote.com,10.208.68.169,false
entitlement-uat.gracenote.com,10.208.220.149,false
entitlement.gracenote.com,10.208.228.28,false
event.sports.gracenote.com,95.100.133.69,false
fdc-dev.gntao-p.cloud.gracenote.com,10.204.27.39,false
fdc.gntao-p.cloud.gracenote.com,10.204.27.39,false
ftp.gracenote.com,209.10.42.207,false
globalvideo.gracenote.com,143.204.194.109,false
gmd.gracenote.com,13.227.173.6,false
gmdb-api-prod.gn-mu-p.cloud.gracenote.com,10.208.241.187,false
gmdb-im-editorial-dev.gn-mu-np.cloud.gracenote.com,10.208.96.207,false
gmdb-im-editorial-prod.gn-mu-p.cloud.gracenote.com,10.208.240.21,false
gmdb-im-editorial-uat.gn-mu-p.cloud.gracenote.com,10.208.240.66,false
gnap-np.cloud.gracenote.com,127.0.0.1,false
gnids-dev.gnvid-np.cloud.gracenote.com,52.89.109.25,false
gnids-prod.gnvid-p.cloud.gracenote.com,34.211.175.151,false
gnids-stage.gnvid-p.cloud.gracenote.com,52.33.209.140,false
gnids.gracenote.com,34.253.73.123,false
go.gracenote.com,52.54.96.194,false
gradio.gntao-p.cloud.gracenote.com,10.204.27.20,false
gsw.sports.gracenote.com,157.90.241.147,false
gvd-api.gracenote.com,44.226.230.56,false
gvd-giraph-balancer.qa.catapult.gracenote.com,52.41.144.54,false
idcentral-api-dev.gnid-np.cloud.gracenote.com,10.204.104.152,false
idcentral-api-prod.gnid-p.cloud.gracenote.com,10.204.56.10,false
idcentral-api-stage.gnid-p.cloud.gracenote.com,10.204.56.168,false
idcentral-cli-dev.gnid-np.cloud.gracenote.com,10.204.104.152,false
idcentral-cli-prod.gnid-p.cloud.gracenote.com,10.204.56.10,false
idcentral-cli-stage.gnid-p.cloud.gracenote.com,10.204.56.123,false
idcentral-dev.gnid-np.cloud.gracenote.com,18.244.28.91,false
idcentral-prod.gnid-p.cloud.gracenote.com,18.244.28.53,false
idcentral-stage.gnid-p.cloud.gracenote.com,52.84.90.75,false
idme.mid.music.gracenote.com,52.40.32.142,false
images.sports.gracenote.com,18.245.199.123,false
jira.gracenote.com,209.10.42.50,false
