Subdomain,IP,Cloudflare
admin.vevo.com,151.101.0.92,false
advertising.vevo.com,198.185.159.144,false
auth.vevo.com,3.33.189.110,false
aws-cache.vevo.com,13.227.173.3,false
brand.vevo.com,157.230.90.76,false
cache.vevo.com,151.101.0.92,false
cops.vevo.com,99.86.91.79,false
dev-h264-aws.vevo.com,18.155.129.9,false
dev-hls-aws.vevo.com,13.249.9.40,false
dev-mpd-aws.vevo.com,18.164.52.27,false
docs.vevo.com,104.18.40.47,true
dscvr.vevo.com,104.18.40.252,true
events.vevo.com,151.101.130.133,false
feedback.vevo.com,44.214.112.154,false
hls-video.vevo.com,151.101.0.92,false
hq.vevo.com,34.149.87.45,false
img.cache.vevo.com,151.101.0.92,false
it.vevo.com,142.250.201.179,false
looker.vevo.com,3.212.186.142,false
mta-sts.vevo.com,18.165.227.95,false
ops.vevo.com,216.239.36.21,false
request.vevo.com,216.198.53.2,false
s.vevo.com,199.232.192.70,false
status.vevo.com,151.101.1.91,false
stg-apiv2.vevo.com,151.101.0.70,false
stg-appletv.vevo.com,143.204.194.115,false
stg-cache.vevo.com,52.222.149.78,false
stg-cupid.vevo.com,18.244.179.122,false
stg-h264-aws.vevo.com,108.138.233.93,false
stg-hls-aws.vevo.com,52.222.201.108,false
stg-hls-video.vevo.com,151.101.0.92,false
stg-hyb-origin.vevo.com,151.101.0.92,false
stg-mp4-aws.vevo.com,108.138.233.93,false
stg-mp4-video.vevo.com,18.164.52.68,false
stg-mpd-aws.vevo.com,143.204.68.30,false
stg-mpd-video.vevo.com,143.204.68.30,false
stg-origin-vod.vevo.com,151.101.0.92,false
stg-scache.vevo.com,18.244.179.45,false
support.vevo.com,216.198.53.6,false
thebeat.vevo.com,3.228.73.75,false
workitout.vevo.com,52.208.1.133,false
www.hq.vevo.com,34.149.87.45,false
